"Covariates"	"TotalPop"	"Makhzen"	"Marabout"	"Berber"	"HaCultPP"	"WealthPP"	"LivestockPP"	"CamelSheepProp"	"TentProp"	"SaharaMarkets"	"WeeklyMarkets"	"AnnPrec"	"CalcThick"
"TotalPop"													
"Makhzen"	0.051												
"Marabout"	0.079	-0.016											
"Berber"	-0.273	-0.234	-0.124										
"HaCultPP"	-0.205	0.273	-0.181	0.074									
"WealthPP"	0.075	0.177	-0.088	-0.109	0.159								
"LivestockPP"	-0.203	0.209	-0.098	0.086	0.182	0.513							
"CamelSheepProp"	0.135	0.109	0.024	-0.516	-0.084	0.626	0.132						
"TentProp"	0.231	0.15	0.147	-0.565	-0.228	0.496	0.163	0.703					
"SaharaMarkets"	-0.02	0.382	0.094	-0.476	0.006	0.434	-0.027	0.733	0.707				
"WeeklyMarkets"	0.102	0.138	-0.128	0.223	0.349	-0.212	-0.013	-0.498	-0.564	-0.386			
"AnnPrec"	-0.048	-0.15	-0.137	0.567	0.24	-0.411	0.058	-0.757	-0.84	-0.808	0.653		
"CalcThick"	-0.124	0.151	-0.104	0.39	0.27	-0.252	0.136	-0.776	-0.618	-0.623	0.616	0.748	
